mode,total_images,total_time_sec,avg_time_per_image_sec,images_per_second
original,10000,10.171802520751953,0.0010171802520751953,983.1099236933227
low,10000,10.348299026489258,0.0010348299026489258,966.3423886768547
high,10000,11.41669750213623,0.001141669750213623,875.9100429987616
noisy,10000,11.597371578216553,0.0011597371578216554,862.2643443436002
